#{"t_start": 1715872318.6947923, "env_id": "FrozenLake-v1"}
r,l,t
0.0,52,0.764647
1.0,9,0.768635
1.0,19,0.778117
1.0,36,0.793136
1.0,56,0.817119
1.0,55,0.842221
1.0,72,0.873307
1.0,35,0.889628
1.0,47,0.909791
1.0,63,0.943075
1.0,18,0.954204
1.0,44,0.978742
0.0,64,1.008931
1.0,41,1.028031
0.0,7,1.089582
0.0,10,1.09359
0.0,27,1.105596
0.0,13,1.111597
0.0,17,1.118612
0.0,11,1.12362
0.0,19,1.131617
0.0,16,1.139634
0.0,16,1.146631
0.0,3,1.147648
0.0,29,1.16065
0.0,15,1.167667
0.0,12,1.173667
0.0,8,1.176656
0.0,8,1.181168
0.0,24,1.192177
0.0,8,1.19519
0.0,5,1.198199
0.0,10,1.202186
0.0,12,1.208216
0.0,28,1.22023
0.0,7,1.22322
0.0,8,1.22621
0.0,8,1.230217
0.0,17,1.237211
0.0,11,1.242195
0.0,9,1.246203
0.0,6,1.261268
0.0,9,1.271235
0.0,2,1.273229
0.0,3,1.277215
0.0,10,1.288681
0.0,18,1.308614
0.0,3,1.312601
0.0,20,1.335525
0.0,3,1.339513
0.0,7,1.347485
0.0,11,1.359444
0.0,2,1.361437
0.0,8,1.370408
0.0,4,1.375392
0.0,14,1.393849
0.0,3,1.398105
0.0,19,1.419523
0.0,2,1.422684
0.0,9,1.433073
0.0,4,1.438259
0.0,9,1.452483
0.0,2,1.455473
0.0,5,1.462448
0.0,3,1.466435
0.0,2,1.468428
0.0,6,1.477399
0.0,2,1.479908
0.0,11,1.495855
0.0,5,1.503828
0.0,13,1.523791
0.0,4,1.529361
0.0,5,1.536748
0.0,2,1.540091
0.0,5,1.547191
1.0,12,1.56239
0.0,5,1.569367
0.0,14,1.590487
0.0,7,1.598976
0.0,3,1.601964
0.0,27,1.636847
0.0,5,1.642827
0.0,2,1.645817
0.0,2,1.64781
0.0,13,1.663758
0.0,9,1.674722
0.0,8,1.685193
0.0,5,1.69217
0.0,3,1.696157
0.0,23,1.723067
0.0,7,1.73252
0.0,15,1.753998
0.0,13,1.771156
0.0,5,1.776231
0.0,4,1.780551
0.0,5,1.786554
0.0,3,1.789585
0.0,4,1.794669
0.0,4,1.799814
0.0,6,1.805873
0.0,4,1.810825
0.0,6,1.817821
0.0,2,1.819833
0.0,5,1.825834
0.0,11,1.837839
0.0,4,1.842822
0.0,6,1.848979
0.0,3,1.852949
0.0,3,1.855944
0.0,4,1.860924
0.0,2,1.862918
0.0,10,1.874005
0.0,10,1.884526
0.0,2,1.886586
0.0,19,1.909007
0.0,17,1.929086
0.0,4,1.934106
0.0,11,1.946126
0.0,4,1.95115
1.0,9,1.9612
0.0,2,1.964193
0.0,2,1.966231
0.0,2,1.968225
0.0,26,1.997918
0.0,2,1.999849
0.0,5,2.005827
0.0,9,2.015891
0.0,6,2.022917
0.0,19,2.044135
0.0,20,2.066204
1.0,18,2.086966
0.0,3,2.089959
0.0,14,2.105844
0.0,6,2.112854
0.0,7,2.119905
0.0,3,2.123887
0.0,8,2.132895
0.0,16,2.150923
0.0,8,2.160928
0.0,4,2.164934
0.0,16,2.183438
0.0,22,2.207528
0.0,6,2.215543
0.0,10,2.226591
0.0,17,2.247604
0.0,3,2.250593
0.0,8,2.259976
0.0,3,2.262966
0.0,12,2.277
0.0,22,2.301103
0.0,3,2.305089
0.0,10,2.316245
0.0,8,2.325236
0.0,13,2.339254
0.0,10,2.351278
0.0,9,2.361318
0.0,15,2.377388
0.0,3,2.380901
0.0,2,2.383891
0.0,10,2.394849
0.0,15,2.410845
0.0,18,2.432816
0.0,2,2.434852
0.0,2,2.436845
0.0,18,2.460804
0.0,2,2.462898
0.0,3,2.465889
0.0,7,2.474071
0.0,8,2.482656
0.0,4,2.486758
0.0,10,2.500925
0.0,18,2.522139
0.0,12,2.535095
0.0,6,2.542185
0.0,2,2.544179
0.0,7,2.552253
1.0,6,2.558324
0.0,10,2.570352
0.0,5,2.576355
0.0,2,2.578348
0.0,6,2.585382
0.0,5,2.591381
0.0,4,2.595404
0.0,2,2.598394
0.0,11,2.610469
0.0,3,2.613459
0.0,3,2.616466
0.0,4,2.62149
0.0,11,2.633688
0.0,19,2.654708
0.0,19,2.675678
0.0,7,2.684159
0.0,15,2.703247
0.0,5,2.709337
0.0,9,2.719303
0.0,8,2.728272
0.0,6,2.735249
0.0,9,2.745292
0.0,2,2.747305
0.0,7,2.755324
0.0,8,2.764361
0.0,10,2.775363
0.0,6,2.781867
1.0,13,2.796897
0.0,7,2.804909
0.0,11,2.819971
0.0,6,2.827007
0.0,2,2.83002
0.0,8,2.839056
0.0,4,2.845075
0.0,3,2.849062
0.0,3,2.853049
0.0,10,2.86701
0.0,4,2.872984
0.0,6,2.88149
0.0,2,2.88448
0.0,3,2.887474
0.0,4,2.892503
0.0,2,2.894494
0.0,3,2.898524
0.0,10,2.910524
0.0,8,2.919547
0.0,4,2.924574
0.0,11,2.936633
0.0,4,2.941658
0.0,9,2.952754
0.0,6,2.959775
0.0,2,2.961769
0.0,3,2.964807
0.0,11,2.977925
0.0,7,2.985412
0.0,4,2.990396
0.0,2,2.992389
0.0,6,3.000365
0.0,3,3.004353
0.0,20,3.031259
1.0,13,3.046237
0.0,12,3.059384
0.0,2,3.061381
0.0,5,3.067364
0.0,3,3.071355
0.0,5,3.07634
0.0,9,3.085823
0.0,11,3.098803
0.0,8,3.106777
0.0,16,3.124798
0.0,5,3.130778
0.0,7,3.138856
0.0,6,3.144836
0.0,4,3.149923
0.0,7,3.157927
0.0,12,3.170988
0.0,7,3.179526
0.0,11,3.191629
0.0,20,3.213858
0.0,9,3.224002
0.0,5,3.230036
0.0,10,3.241044
0.0,2,3.243038
0.0,17,3.262054
0.0,5,3.268064
0.0,9,3.278089
0.0,5,3.283828
0.0,4,3.28895
0.0,7,3.297046
1.0,13,3.314531
0.0,2,3.317673
0.0,3,3.321754
0.0,5,3.328958
0.0,2,3.331962
0.0,5,3.338067
0.0,3,3.343169
0.0,13,3.360136
0.0,12,3.374211
0.0,13,3.389014
0.0,5,3.394036
0.0,3,3.398142
0.0,8,3.406228
0.0,16,3.423462
0.0,7,3.43064
0.0,3,3.434626
0.0,8,3.4438
0.0,3,3.446791
0.0,9,3.456692
0.0,9,3.465765
0.0,6,3.474735
0.0,11,3.48827
0.0,2,3.490263
0.0,2,3.493293
0.0,4,3.497313
0.0,8,3.506303
0.0,15,3.522248
0.0,2,3.524345
0.0,3,3.527335
0.0,9,3.53739
0.0,10,3.548354
0.0,4,3.553337
0.0,2,3.55533
0.0,15,3.571474
0.0,5,3.577503
0.0,4,3.58314
0.0,2,3.585232
1.0,9,3.595517
0.0,10,3.606668
0.0,6,3.612944
0.0,5,3.618933
0.0,12,3.631913
0.0,5,3.637893
0.0,3,3.640883
0.0,9,3.65085
0.0,16,3.66791
