#{"t_start": 1715872318.6937895, "env_id": "FrozenLake-v1"}
r,l,t
0.0,3,3.367141
0.0,5,3.372143
0.0,9,3.382976
0.0,6,3.390016
0.0,3,3.393046
0.0,8,3.402235
0.0,15,3.417416
0.0,17,3.436717
0.0,5,3.441811
0.0,2,3.444803
0.0,4,3.448723
0.0,11,3.460685
0.0,10,3.472749
0.0,4,3.477732
0.0,9,3.489272
0.0,2,3.491266
0.0,3,3.495292
0.0,4,3.499312
0.0,15,3.516275
0.0,6,3.522254
0.0,4,3.526344
0.0,5,3.532414
0.0,8,3.541383
0.0,3,3.544373
0.0,2,3.546366
0.0,13,3.56032
0.0,2,3.562313
0.0,3,3.566301
0.0,6,3.572477
0.0,6,3.581022
0.0,8,3.590396
0.0,7,3.597532
0.0,2,3.600597
0.0,14,3.614946
0.0,6,3.621929
0.0,2,3.623922
0.0,4,3.628929
0.0,7,3.635906
0.0,3,3.639892
0.0,5,3.644876
1.0,8,3.653846
0.0,3,3.656836
0.0,7,3.664809
0.0,3,3.667916
0.0,2,3.669909
