#{"t_start": 1715872318.6927931, "env_id": "FrozenLake-v1"}
r,l,t
1.0,73,0.776613
0.0,26,0.788159
1.0,24,0.798129
1.0,31,0.812103
1.0,21,0.821111
0.0,33,0.836162
1.0,13,0.841191
0.0,100,0.884622
0.0,69,0.915898
1.0,18,0.925035
1.0,14,0.933039
1.0,7,0.937048
1.0,36,0.957199
1.0,33,0.975255
1.0,10,0.982737
1.0,30,0.996862
1.0,11,1.001866
1.0,9,1.005853
1.0,88,1.043982
0.0,10,1.092578
0.0,5,1.094592
0.0,29,1.107595
0.0,12,1.112599
0.0,29,1.125619
0.0,7,1.128609
0.0,11,1.133616
0.0,8,1.136629
0.0,6,1.139641
0.0,14,1.145641
0.0,6,1.14863
0.0,10,1.153635
0.0,13,1.159661
0.0,10,1.163647
0.0,8,1.167654
0.0,20,1.176663
0.0,5,1.178655
0.0,10,1.184163
0.0,3,1.185178
0.0,17,1.193179
0.0,4,1.195196
0.0,15,1.202193
0.0,44,1.221233
0.0,4,1.223226
0.0,71,1.253185
0.0,13,1.270246
0.0,3,1.274231
0.0,10,1.285697
0.0,10,1.29666
0.0,2,1.29965
0.0,2,1.301643
0.0,2,1.303637
0.0,3,1.307623
0.0,3,1.310613
0.0,4,1.315597
0.0,6,1.322576
0.0,23,1.349484
0.0,5,1.354466
0.0,11,1.367424
0.0,5,1.372407
0.0,7,1.380882
0.0,2,1.382886
0.0,15,1.403173
0.0,7,1.411389
0.0,8,1.420516
0.0,3,1.424684
0.0,9,1.435072
0.0,5,1.442257
0.0,4,1.447497
0.0,4,1.454482
0.0,4,1.460461
0.0,8,1.470428
0.0,10,1.484897
0.0,9,1.497854
0.0,3,1.502837
0.0,36,1.55532
0.0,2,1.558409
0.0,10,1.571367
0.0,3,1.575355
0.0,3,1.580338
0.0,4,1.586345
0.0,20,1.610941
0.0,4,1.615924
0.0,7,1.625889
0.0,7,1.634859
0.0,22,1.661769
0.0,4,1.666754
0.0,18,1.690182
0.0,7,1.700149
0.0,6,1.707126
0.0,4,1.711112
0.0,2,1.714103
0.0,5,1.719086
0.0,2,1.722076
0.0,8,1.731082
0.0,4,1.737569
0.0,4,1.742998
0.0,2,1.746008
0.0,3,1.750491
0.0,5,1.757075
0.0,2,1.760441
0.0,6,1.767019
0.0,3,1.771149
0.0,10,1.782551
0.0,2,1.785563
0.0,7,1.793643
0.0,5,1.798729
0.0,6,1.805897
0.0,11,1.818824
0.0,3,1.821832
0.0,8,1.830823
0.0,13,1.845817
0.0,10,1.856953
0.0,11,1.868982
0.0,3,1.872017
0.0,16,1.889584
0.0,3,1.893677
0.0,6,1.900847
0.0,2,1.903906
0.0,5,1.908999
0.0,6,1.916032
0.0,5,1.922075
0.0,2,1.924067
0.0,7,1.932123
0.0,2,1.935109
0.0,3,1.938122
0.0,4,1.942127
0.0,8,1.952153
0.0,2,1.954146
0.0,2,1.95614
0.0,2,1.959174
0.0,4,1.9632
0.0,10,1.975245
0.0,8,1.983749
0.0,7,1.99177
0.0,5,1.997749
0.0,6,2.004837
0.0,6,2.010816
0.0,5,2.016894
0.0,12,2.030005
0.0,2,2.033112
0.0,2,2.0351
0.0,16,2.053111
0.0,2,2.05513
0.0,6,2.062222
0.0,6,2.068203
0.0,10,2.079356
0.0,6,2.086974
0.0,13,2.100926
0.0,4,2.10585
0.0,2,2.107843
0.0,5,2.112859
0.0,2,2.115849
0.0,5,2.120861
0.0,3,2.124893
0.0,11,2.136906
0.0,3,2.140893
0.0,6,2.147918
0.0,7,2.155912
0.0,19,2.176922
0.0,24,2.203526
0.0,3,2.207534
0.0,6,2.214534
0.0,6,2.221529
0.0,12,2.235608
0.0,7,2.242627
0.0,5,2.2506
0.0,6,2.256974
0.0,27,2.288028
0.0,11,2.300065
0.0,6,2.307088
0.0,9,2.317151
0.0,2,2.319263
0.0,8,2.328232
0.0,27,2.358295
0.0,2,2.361325
0.0,4,2.365372
0.0,6,2.372411
0.0,11,2.384894
0.0,15,2.400834
0.0,6,2.40781
0.0,2,2.409803
0.0,7,2.417828
0.0,7,2.425847
0.0,3,2.428837
0.0,7,2.437848
0.0,16,2.457821
0.0,4,2.463888
0.0,4,2.467888
0.0,9,2.478074
0.0,10,2.488757
0.0,5,2.495842
0.0,2,2.498832
0.0,3,2.502924
0.0,15,2.521148
0.0,17,2.539088
0.0,7,2.547175
0.0,5,2.553257
0.0,3,2.556246
0.0,9,2.566318
0.0,3,2.570331
0.0,7,2.578354
0.0,12,2.592384
0.0,8,2.60139
0.0,4,2.605412
0.0,5,2.610439
0.0,35,2.649706
0.0,3,2.652695
0.0,2,2.65571
0.0,4,2.659716
0.0,4,2.664717
0.0,3,2.66771
0.0,2,2.669704
0.0,6,2.67668
0.0,13,2.693264
0.0,6,2.701259
0.0,4,2.705246
0.0,13,2.720306
0.0,2,2.722299
0.0,18,2.742271
0.0,5,2.748288
0.0,7,2.756327
0.0,18,2.776366
0.0,5,2.781871
0.0,12,2.794909
0.0,9,2.804915
0.0,4,2.809927
0.0,4,2.815949
0.0,9,2.82801
0.0,6,2.835009
0.0,14,2.854052
0.0,5,2.861032
0.0,2,2.864022
0.0,21,2.891467
0.0,7,2.900523
0.0,10,2.912523
0.0,7,2.92055
0.0,2,2.922543
0.0,7,2.930603
0.0,9,2.940667
0.0,6,2.947685
0.0,2,2.949729
0.0,21,2.974928
0.0,3,2.977931
0.0,10,2.989405
0.0,8,2.999375
0.0,3,3.003361
0.0,7,3.013328
0.0,7,3.023294
1.0,8,3.033258
0.0,4,3.038241
0.0,9,3.048236
0.0,4,3.052326
0.0,8,3.061383
0.0,8,3.070365
0.0,18,3.090811
0.0,6,3.096815
0.0,7,3.104789
0.0,11,3.116806
0.0,5,3.122811
0.0,4,3.126797
0.0,3,3.130784
0.0,7,3.137854
0.0,2,3.140855
0.0,7,3.148829
0.0,9,3.157935
0.0,2,3.160918
0.0,5,3.166973
0.0,5,3.171992
0.0,2,3.174975
0.0,5,3.180017
0.0,9,3.190587
0.0,8,3.19866
0.0,6,3.205745
0.0,6,3.211771
0.0,3,3.215857
0.0,8,3.225005
0.0,5,3.230042
0.0,9,3.240049
0.0,6,3.24703
0.0,3,3.251049
0.0,18,3.271092
0.0,8,3.280088
0.0,9,3.29095
0.0,37,3.340066
0.0,3,3.345169
0.0,4,3.350156
0.0,9,3.362135
0.0,2,3.365125
0.0,11,3.377273
0.0,2,3.379272
0.0,4,3.383972
0.0,11,3.396035
0.0,2,3.398148
0.0,6,3.405236
0.0,8,3.413322
0.0,4,3.417416
0.0,3,3.421403
0.0,3,3.424393
0.0,10,3.435614
0.0,8,3.443806
1.0,10,3.455702
0.0,21,3.480721
0.0,8,3.490269
0.0,4,3.495292
0.0,7,3.502302
0.0,5,3.508302
0.0,3,3.511292
0.0,3,3.514282
0.0,8,3.523251
0.0,13,3.537396
0.0,2,3.53939
0.0,7,3.547363
0.0,9,3.557329
0.0,7,3.565303
0.0,6,3.571453
0.0,2,3.573473
0.0,8,3.584049
0.0,4,3.58936
0.0,3,3.5924
0.0,7,3.599578
0.0,6,3.606652
0.0,17,3.624918
0.0,4,3.629926
0.0,5,3.634909
0.0,19,3.655839
0.0,11,3.667916
